Park,Site,X,Y,Boro,Date,Times
Prospect Park,Grand Army Plaza,992538,184830,BK,"Sunday, May 3",10AM-12PM
Prospect Park,Bartel Pritchard Square,989834,180097,BK,"Saturday, May 2",10AM-12PM
Prospect Park,Entrance at Parkside Ave and Ocean Ave,994826,177869,BK,"Saturday, May 2",2PM-4PM
McCarren Park,Play Center,997930,201674,BK,"Monday, May 4",10AM-12PM
McCarren Park,Entrance at Bedford Ave and Lorimer St,997652,202865,BK,"Monday, May 4",2PM-4PM
Betsy Head Park,Thomas S Boyland St and Livonia Ave,1008740,180521,BK,"Monday, May 4",10AM-12PM
Sunset Park,Recreation Center,983211,175350,BK,"Monday, May 4",2PM-4PM
Coffey Park,Entrance at Richards St and Verona St,981946,186643,BK,"Monday, May 4",2PM-4PM
Saint John's Park,Recreation Center,1002317,184651,BK,"Tuesday, May 5",10AM-12PM
Saratoga Park,Entrance at Macon St between Saratoga Ave and Howard Ave,1006734,188707,BK,"Tuesday, May 5",2PM-4PM
Linden Park,Entrance at Linden Blvd and Vermont St,1015048,179487,BK,"Tuesday, May 5",10AM-12PM
Saint Andrew's Playground,Entrance at Atlantic Ave and Kingston Ave,1000509,186298,BK,"Tuesday, May 5",2PM-4PM
Crotona Park,Pool,1012551,245513,BX,"Saturday, May 2",10AM-12PM
Crotona Park,Tennis,1013209,245346,BX,"Sunday, May 3",10AM-12PM
Crotona Park,Crotona Park East and E 173 St,1014521,244205,BX,"Saturday, May 2",2PM-4PM
Rainey Park,Field House on Dawson St off Longwood Ave,1012381,237585,BX,"Monday, May 4",10AM-12PM
Soundview Park,Field House on Lafayette Ave between Colgate Ave and Boynton Ave,1017986,237821,BX,"Monday, May 4",2PM-4PM
Rose Hill Park,Corner of Webster Ave and E Fordham Rd,1014465,253243,BX,"Monday, May 4",10AM-12PM
Saint James Park,Recreation Center,1012341,254608,BX,"Tuesday, May 5",12PM-2PM
Saint Mary's Park,Recreation Center,1007997,234931,BX,"Tuesday, May 5",1PM-3PM
Williamsbridge Oval,Recreation Center,1017822,258663,BX,"Tuesday, May 5",12PM-2PM
Mullaly Park,Skate Park House,1005335,242928,BX,"Tuesday, May 5",1PM-3PM
Poe Park,Visitor Center,1013399,254365,BX,"Tuesday, May 5",12PM-12PM
Central Park,Tavern on the Green,990580,220835,MN,"Saturday, May 2",10AM-12PM
Central Park,W 100 St Ramp,994544,228641,MN,"Sunday, May 3",10AM-12PM
Central Park,Lenox Ave Ramp,997412,230102,MN,"Saturday, May 2",2PM-4PM
Alfred E Smith,Recreation Center,984992,198148,MN,"Sunday, May 3",10AM-12PM
J Hood Wright,Recreation Center,1000503,247698,MN,"Sunday, May 3",2PM-4PM
Hansborough Park,Recreation Center,1001047,235418,MN,"Monday, May 4",10AM-12PM
East River Park,Promenade at E 6th St,991442,202240,MN,"Monday, May 4",10AM-12PM
Seward Park,Canal St and Essex St,986996,199570,MN,"Monday, May 4",2PM-4PM
Morningside Park,Morningside Ave and W 114 St,995821,232160,MN,"Monday, May 4",2PM-4PM
De Witt Clinton Park,Field House off W 52 St between 11 Ave and 12 Ave,985680,218939,MN,"Tuesday, May 5",10AM-12PM
Asser Levy,Recreation Center,991043,207550,MN,"Tuesday, May 5",2PM-4PM
Highbridge Park,Recreation Center,1002597,245726,MN,"Tuesday, May 5",10AM-12PM
South Beach,Boardwalk at South Fin Grill,965790,153961,SI,"Saturday, May 2",10AM-12PM
Midland Beach,S Plaza,960649,148105,SI,"Sunday, May 3",10AM-12PM
The Big Park,Grandview Ave and Continental Pl,938360,168950,SI,"Monday, May 4",10AM-12PM
High Rock/Nature Center,Parking lot at the end of Nevada Ave,949975,151869,SI,"Monday, May 4",2PM-4PM
Willowbrook,Entrance off Eton Place,940636,158880,SI,"Monday, May 4",10AM-12PM
Corporal Thompson Park,Field House of Broadway between Markham Ln and Wayne St,951472,171961,SI,"Monday, May 4",2PM-4PM
Bloomingdale Park,Field House off Lenevar Ave between Lamont Ave and Ramona Ave,926308,134293,SI,"Tuesday, May 5",10AM-12PM
Clove Lakes,Outside Stonehenge,954932,164428,SI,"Tuesday, May 5",2PM-4PM
Wolfe's Pond Park,Parking Lot off Cornelia Ave,931897,128462,SI,"Tuesday, May 5",10AM-12PM
Conference House Park,Visitor Center,914257,122360,SI,"Tuesday, May 5",2PM-4PM
Astoria Park,Field House at Running Track,1004969,221979,QNS,"Saturday, May 2",10AM-12PM
Flushing Meadows,David Dinkins Circle,1027745,213012,QNS,"Saturday, May 2",10AM-12PM
Flushing Meadows,Corona Golf Playground,1024631,211716,QNS,"Saturday, May 2",10AM-12PM
Flushing Meadows,NYS Pavilion,1027362,210222,QNS,"Saturday, May 2",2PM-4PM
Daniel O'Connell Playground,Field House off 113 Ave between 196 St and 197 St,1051283,194466,QNS,"Monday, May 4",10AM-12PM
Redfern Playground,Beach 12 St and Redfern Ave,1053807,162111,QNS,"Monday, May 4",2PM-4PM
Springfield Park,146 Ter and 184 St,1049912,179966,QNS,"Monday, May 4",10AM-12PM
Baisley Pond Park,155 St And Baisley Blvd,1044024,185182,QNS,"Monday, May 4",2PM-4PM
Sorrentino,Recreation Center,1053292,158859,QNS,"Tuesday, May 5",10AM-12PM
Lost Battalion Hall,Recreation Center,1021516,205909,QNS,"Tuesday, May 5",2PM-4PM
Mauro Playground,Park Dr East at 73 Ter,1032182,202770,QNS,"Tuesday, May 5",2PM-4PM
Queensbridge Park,41 Ave and Vernon Blvd,998770,214938,QNS,"Tuesday, May 5",10AM-12PM
